review_id,review_datetime,mem_no,age,gender,order_no,review_shop_no,review_shop_nm,shop_owner_no,review_product_id,review_product_nm,review_menu_id,review_menu_name,review_menu_recommendation,star_point,review_display_status,review_display_type,review_block_type,review_block_reason,is_review_rider_evaluation_good,is_review_rider_evaluation_bad,display_image_count,review_contents,review_image_path,ceo_review_contents,part_svc,part_date
001fd8fe30cdc170b5fc44df157e8f54211dcd915eff14ad11e5d090,2023-06-04 17:07:07,2a47e3f2845ec854ce3f4df1e73e773cace32f54f8a57a2e0f651636,27,FEMALE,cb8434205f38401ead1032da0da7232f9b67e1243791122f288d88a7,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""1000448000"", ""114956174"", ""107392672""]","[""김말이"", ""쿨피스캔(복숭아맛)"", ""®첫주문4천원할인® 삼삼떡볶이(자연산 치즈토핑 듬뿍)""]","[""NONE"", ""NONE"", ""GOOD""]",5,DISPLAY,ALL,"","",1,0,1,완전 맛있게 먹었어용! ㅎㅎ,"[""https://img-cdn.baemin.com/bmreview-qh2e/i/2023/6/4/01h22q4663h9tqmjdt8hn4jf33.jpg""]","",FOOD,2023-06-04
01283eb74fcfddd231d04ba95935672aaf6073e9e47e02c58155bc57,2023-05-29 13:05:16,433e3f4a26bba42ea04dccc4423aafa6c212ad598e8cee2c80052e5c,33,FEMALE,0cdf2bafac769c3480ad06b06098e3d817086bab21a6876af8d404b3,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107393097"", ""107401758"", ""107394109"", ""1000448088""]","[""라볶이"", ""33 찰순대(내장 없음)"", ""치즈 꼬마김밥(4줄)"", ""핫도그""]","[""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,1,잘먹었습니다!,"[""https://img-cdn.baemin.com/bmreview-qh2e/i/2023/5/29/01h1jtx0z263p116303xy1c1m0.jpg""]","",FOOD,2023-05-29
02391cdbb034cefe931754275d0cb71abac2357bd3fa8262cae121be,2023-03-12 12:12:27,c6162f36babd6183745b6d717eb9dee6ab218c7a2bf9d67a262fd085,36,MALE,2f83c33b18352bc6d7ded784328c8997c58d642ef64f2fdf517e46e7,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107392903"", ""107401758"", ""107393769"", ""107393364""]","[""국물떡볶이"", ""33 찰순대(내장 없음)"", ""참치 꼬마김밥(4줄)"", ""계란 꼬마김밥(4줄)""]","[""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,0,맛있게 잘 먹었어요! 떡보끼는 33!,,"",FOOD,2023-03-12
0426bc0bb0ca662b8f344bceec0579ce50931aed6c2475744bf91828,2023-06-25 16:07:48,32b5d2fbd8e8298cfe94306b80e49a938625f34d33f81143f72c0b43,26,MALE,2528fd3111a40166d015efeb3b6006669bbf5081e642788662e875ea,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107393364"", ""107395451"", ""1000621779"", ""131755084"", ""107393097""]","[""계란 꼬마김밥(4줄)"", ""야채튀김"", ""단골찬스메뉴 1개만 선택"", ""통살오징어튀김(3개)"", ""라볶이""]","[""NONE"", ""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,0,잘 먹었어요,,"",FOOD,2023-06-25
05424fca4d152259d8807989951c81cc525b7fa3d6fbe7f8b29a6b55,2023-03-18 19:59:22,eea9eac0b54900ea8af31477297f2855f99640c0c2b51d2ec1c81665,30,FEMALE,c6788e0124acb93cf743c13fe6d900e40597b80d3f43beb5db59ecbc,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""131755067"", ""107393097"", ""107392903"", ""107393342""]","[""야끼만두(3개)"", ""라볶이"", ""국물떡볶이"", ""®강추®모듬 꼬마김밥(6줄)""]","[""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,1,"꼬마김밥이 너무 먹고싶어서 주문해봤어요. 위례에서 거마까지도 배달해주시니 넘 좋네요. 떡볶이, 라볶이 등도 같이 주문했는데 넘 잘 먹었습니다!","[""https://img-cdn.baemin.com/bmreview-qh2e/i/2023/3/18/01gvt5zgydkhzyex3aj28sxedg.jpg""]","",FOOD,2023-03-18
05f3aaa37dd2eb59514aebcb9c87f739295b61d5a8fd831fcd49b67c,2023-01-26 22:20:28,db2c9442196a9ac588f9e534138f8b1767720f83b349da97f2dd5bbe,39,FEMALE,05cda50562d8a3edbfa95809b64cbff0f37156b04c03cd4fe3b8cc8d,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107392903"", ""107393342""]","[""국물떡볶이"", ""®강추®모듬 꼬마김밥(6줄)""]","[""GOOD"", ""GOOD""]",4,DISPLAY,ALL,"","",1,0,0,김밥 정말 맛있어요! 저번에도 이번에도 진짜 핵맛!!!!!! 오늘 떡볶이는 맛있었긴 했는데 조금 떡이 딱딱했어요 ㅠㅠ,[],"",FOOD,2023-01-26
0744e663d44b9befc96f4133bbfeadb5237dee2d6ac78e9105225c70,2023-06-01 20:10:33,8cee3b4d8d38c4d8c5cbbb4cbbbf51baf59361c26ca376956776a055,25,FEMALE,9504ae939814f7b025c15f79d991f9cd4f11155dc2e62956d13ed85a,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107392903"", ""107401743"", ""107393342"", ""107401974"", ""1000448056""]","[""국물떡볶이"", ""®인기® 추억의 인천쫄면"", ""®강추®모듬 꼬마김밥(6줄)"", ""33 오뎅"", ""야끼만두""]","[""NONE"", ""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,0,떡볶이 쫄면 맛있게 먹었어요! 리뷰 감사합니당,,"",FOOD,2023-06-01
0a134c2df47b22b758ead77a48d805a3f3ded5bee27eccfd767f690b,2023-06-25 13:45:00,a939fbfe0f83836a8d249778318c95f027e7f1b765759bdc58910350,41,MALE,17b7511131cc5845501d3dafb09a75eb324f3dd86fbf1b94bbaaae56,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107392650"", ""107395875"", ""107394979"", ""107393342"", ""109217084"", ""1000621779""]","[""®반응핫해® 로제떡볶이"", ""양념순살치킨(닭다리살 온리)"", ""®인기®모듬튀김"", ""®강추®모듬 꼬마김밥(6줄)"", ""핫도그"", ""단골찬스메뉴 1개만 선택""]","[""NONE"", ""NONE"", ""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,0,처음시켜봤는데 아이들이 너무 좋아하네요배달도 빨고 음식도 맛있습니다서비스 음료수도 감사합니다!!,,"",FOOD,2023-06-25
0a7a2b41c8039730f5f30aa5e79e5553e2198a20c4ad5a7b89c09657,2023-06-17 20:44:09,58bf7412f5c9fe78ce9cbb14430a4a37ae6572ba5459f38050a06052,41,FEMALE,8b2ab3590126e0f0d2ab062345cea1b5e176aeafd1f0029186ac6034,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""107401758"", ""107392650"", ""107395472""]","[""33 찰순대(내장 없음)"", ""®반응핫해® 로제떡볶이"", ""어묵튀김""]","[""GOOD"", ""GOOD"", ""GOOD""]",5,DISPLAY,ALL,"","",1,0,1,맛있어요 제가 생각하던 어묵의 생김새는 아니였지만 로제떡볶이가 맛있어요,"[""https://img-cdn.baemin.com/bmreview-qh2e/i/2023/6/17/01h34jpxpbjvcqja18c15zcxr8.jpg""]","",FOOD,2023-06-17
0de8dd83fc43e60352e9b5998101417192ecf058bd8c1b9101d7f43e,2023-06-06 09:47:09,b7eaac30367fb4e35c057bb6d5c2eec7d39e0452d9b4b9479aac53dc,0,"",efbe2271e7ac0959947e68c1eabd5272a2dd97aa1f04193e47f1accb,10bcbccf3b3da3af70e28e69964e274fe47fcd8696ef4e0c82e946e6,33떡볶이&꼬마김밥 위례중앙점,d1409e0baf2bd091f0963e2c7c02d8c4f6232820cd82dd0b4518168b,"","","[""1000621779"", ""107392686"", ""107393769"", ""107393342""]","[""단골찬스메뉴 1개만 선택"", ""왕푸짐 쌀떡볶이(김말이2+계란1+납작당면)"", ""참치 꼬마김밥(4줄)"", ""®강추®모듬 꼬마김밥(6줄)""]","[""NONE"", ""NONE"", ""NONE"", ""NONE""]",5,DISPLAY,ALL,"","",1,0,0,"",,"",FOOD,2023-06-06
